Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 74.80077162135734 [0.5]
x_err,y_err, velCond, z_err [0.5] [0.02756688] 0.12794342887403182 [0.08721634]
x_err,y_err, velCond, z_err [0.5] [0.02777337] 0.17654750045921463 [0.09421958]
x_err,y_err, velCond, z_err [0.5] [0.02232318] 0.249389239299194 [0.10106253]
x_err,y_err, velCond, z_err [0.5] [0.0196551] 0.1855769574161591 [0.1079637]
x_err,y_err, velCond, z_err [0.5] [0.01615465] 0.18619329824958633 [0.10489515]
x_err,y_err, velCond, z_err [0.5] [0.01191103] 0.15021453472725688 [0.10477487]
x_err,y_err, velCond, z_err [0.5] [0.00548783] 0.27352560833532946 [0.10762449]
x_err,y_err, velCond, z_err [0.5] [0.00295182] 0.21183320124573482 [0.11554726]
x_err,y_err, velCond, z_err [0.5] [0.00364871] 0.45254897587938814 [0.10443758]
x_err,y_err, velCond, z_err [0.5] [0.00584594] 0.11470778304867814 [0.10738637]
x_err,y_err, velCond, z_err [0.5] [0.00697024] 0.3773061684270522 [0.12232689]
x_err,y_err, velCond, z_err [0.5] [0.01779394] 0.7582528704223129 [0.10416113]
x_err,y_err, velCond, z_err [0.5] [0.02061981] 0.1950412216751367 [0.11107968]
x_err,y_err, velCond, z_err [0.5] [0.02267531] 0.281961922935202 [0.12202833]
x_err,y_err, velCond, z_err [0.5] [0.02477923] 0.282488775245634 [0.13297621]
x_err,y_err, velCond, z_err [0.5] [0.03475007] 0.5388438655497725 [0.12579946]
x_err,y_err, velCond, z_err [0.5] [0.03626569] 0.20342577578602006 [0.13279805]
x_err,y_err, velCond, z_err [0.5] [0.03761113] 0.20842256772094395 [0.1407778]
x_err,y_err, velCond, z_err [0.5] [0.04826169] 0.9660510625831129 [0.11467989]
x_err,y_err, velCond, z_err [0.5] [0.05327201] 0.27616142796788473 [0.11059144]
x_err,y_err, velCond, z_err [0.5] [0.05395207] 0.16752912037977044 [0.11464378]
x_err,y_err, velCond, z_err [0.5] [0.05624695] 0.17237267675418363 [0.11763274]
x_err,y_err, velCond, z_err [0.5] [0.0645085] 0.8656185598135651 [0.09562702]
x_err,y_err, velCond, z_err [0.5] [0.06772216] 0.41416165816819284 [0.08566642]
x_err,y_err, velCond, z_err [0.5] [0.07177799] 0.350753778649576 [0.0786525]
x_err,y_err, velCond, z_err [0.5] [0.07139118] 0.27238929681335194 [0.08873951]
x_err,y_err, velCond, z_err [0.5] [0.0766738] 0.5193016295937125 [0.07470843]
x_err,y_err, velCond, z_err [0.5] [0.07859532] 0.4577735232440168 [0.07188612]
x_err,y_err, velCond, z_err [0.5] [0.08068783] 0.3057968772928047 [0.06795877]
x_err,y_err, velCond, z_err [0.5] [0.07963115] 0.3682090508497059 [0.08207813]
x_err,y_err, velCond, z_err [0.5] [0.08137742] 0.39935335696729496 [0.07217447]
x_err,y_err, velCond, z_err [0.5] [0.08606424] 0.6644842532238493 [0.06131002]
x_err,y_err, velCond, z_err [0.5] [0.08485213] 0.2776815192059502 [0.06849217]
x_err,y_err, velCond, z_err [0.5] [0.08744719] 0.360844432607036 [0.06155477]
x_err,y_err, velCond, z_err [0.5] [0.08744719] 0.2770066261291507 [0.06171702]
x_err,y_err, velCond, z_err [0.5] [0.08796447] 0.31303834698130506 [0.05887007]
x_err,y_err, velCond, z_err [0.5] [0.08796447] 0.5531281232833869 [0.05919406]
x_err,y_err, velCond, z_err [0.5] [0.08744719] 0.22995312365102397 [0.06234576]
x_err,y_err, velCond, z_err [0.5] [0.08900793] 0.5984458790233571 [0.04550927]
x_err,y_err, velCond, z_err [0.5] [0.08468129] 0.630519568838025 [0.06297176]
x_err,y_err, velCond, z_err [0.5] [0.08329834] 0.27915985779051045 [0.06319349]
x_err,y_err, velCond, z_err [0.5] [0.08452071] 0.40663514277433355 [0.05634906]
x_err,y_err, velCond, z_err [0.5] [0.08314285] 0.2781208574472975 [0.05656997]
x_err,y_err, velCond, z_err [0.5] [0.08053238] 0.26836751027302874 [0.06379921]
x_err,y_err, velCond, z_err [0.5] [0.07887967] 0.7717115732361354 [0.05026148]
x_err,y_err, velCond, z_err [0.5] [0.07487597] 0.2813394973143646 [0.05755192]
x_err,y_err, velCond, z_err [0.5] [0.07393265] 0.425180166640243 [0.04778563]
x_err,y_err, velCond, z_err [0.5] [0.07301872] 0.4227849757370515 [0.03801635]
x_err,y_err, velCond, z_err [0.5] [0.06240751] 0.6315493159329195 [0.05175503]
x_err,y_err, velCond, z_err [0.5] [0.05966216] 0.2833988775421047 [0.05203415]
x_err,y_err, velCond, z_err [0.5] [0.0580242] 0.4563867984516639 [0.03928097]
x_err,y_err, velCond, z_err [0.5] [0.05277691] 0.31293589497814317 [0.04565065]
x_err,y_err, velCond, z_err [0.5] [0.04516381] 0.5675505154680343 [0.04328645]
x_err,y_err, velCond, z_err [0.5] [0.04366236] 0.47438668240852566 [0.03054233]
x_err,y_err, velCond, z_err [0.5] [0.03833707] 0.42799143225890673 [0.04392045]
